relationship_id,neo4j_rel_type,source_entity_id,target_entity_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
rel_04fa696ce054b64a,REL_93D4786288,ent_0078f65d708b1617,ent_05cfd732a0ed8871,日常巡检,油箱,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401,TARGETS,针对,Targets,针对 / Targets
rel_c44ba1dd8f193573,REL_6ED9EA33F3,ent_0078f65d708b1617,ent_071e53eff83c673b,日常巡检,油液颜色,维护活动,监测指标,监测,监测,监测,监测,"[""监测""]",监测,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""监测指标""}",[401],401,MEASURES,监测,Measures,监测 / Measures
rel_fb3f4a9ef68b8eea,REL_93D4786288,ent_0078f65d708b1617,ent_29aafe19cccd5b86,日常巡检,阀,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401,TARGETS,针对,Targets,针对 / Targets
rel_6a105edcbbdc60ed,REL_6ED9EA33F3,ent_0078f65d708b1617,ent_39c9c2e8d4ac215b,日常巡检,油液液位,维护活动,监测指标,监测,监测,监测,监测,"[""监测""]",监测,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""监测指标""}",[401],401,MEASURES,监测,Measures,监测 / Measures
rel_56acb7dfc4728bbc,REL_93D4786288,ent_0078f65d708b1617,ent_6891467f987c212d,日常巡检,法兰,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401,TARGETS,针对,Targets,针对 / Targets
rel_ef6d2dd2ad96bebd,REL_93D4786288,ent_0078f65d708b1617,ent_774faa8f73b7858f,日常巡检,接头,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401,TARGETS,针对,Targets,针对 / Targets
rel_cc89034d69e7c95e,REL_6ED9EA33F3,ent_0078f65d708b1617,ent_7764bd701377a81f,日常巡检,压力变化,维护活动,监测指标,监测,监测,监测,监测,"[""监测""]",监测,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""监测指标""}",[401],401,MEASURES,监测,Measures,监测 / Measures
rel_6dff6e5792462f92,REL_93D4786288,ent_0078f65d708b1617,ent_7a562fbf6b0e6308,日常巡检,船舶液压系统,维护活动,系统设备,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""系统设备""}","[401, 409]",401|409,TARGETS,针对,Targets,针对 / Targets
rel_900ac74019e4f4c0,REL_93D4786288,ent_0078f65d708b1617,ent_9138782c72e875f1,日常巡检,软管,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401,TARGETS,针对,Targets,针对 / Targets
rel_cda93fcb15237242,REL_93D4786288,ent_0078f65d708b1617,ent_a374eb4c9fdc30f2,日常巡检,泵,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401,TARGETS,针对,Targets,针对 / Targets
