:START_ID(Entity-ID),:END_ID(Entity-ID),:TYPE,relationship_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
ent_011eebc548e805df,ent_2ee7735ca5a5667c,REL_5D9506010F,rel_cd166e71fc48cbc9,机械磨损加剧,间歇停机,故障类型,故障现象,表现为,表现为,表现为,问题,"[""问题""]",问题,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[448],448
ent_011eebc548e805df,ent_56b8c9d6c612020a,REL_3F8A56C3E0,rel_fda273d732aacf65,机械磨损加剧,机械,故障类型,机电对象,发生于,发生于,发生于,是...根源,"[""是...根源""]",是...根源,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""机电对象""}",[448],448
ent_011eebc548e805df,ent_6a66419b3473492f,REL_5D9506010F,rel_840c5bcdba5ca767,机械磨损加剧,温升偏高,故障类型,故障现象,表现为,表现为,表现为,问题,"[""问题""]",问题,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[448],448
ent_011eebc548e805df,ent_d9c9f6cfacd04375,REL_5D9506010F,rel_5ee421cb17899a82,机械磨损加剧,压力不足,故障类型,故障现象,表现为,表现为,表现为,问题,"[""问题""]",问题,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[448],448
ent_016be4e5e417d833,ent_6d4c26619604c397,REL_9899E5D4D0,rel_fc6bc954a2c432c6,传动失效,水泵故障,原因因素,故障类型,导致,导致,导致,原因包括,"[""原因包括""]",原因包括,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[432],432
ent_021d62ef0835c768,ent_918b42b42e7688dd,REL_C8F49B50A6,rel_3e92973c05fd17c4,关键部件定期更换,活塞活门破裂,预防管理策略,故障类型,用于预防,用于预防,用于预防,避免...被动局面,"[""避免...被动局面""]",避免...被动局面,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于预防"", ""relation_key"": ""用于预防"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""故障类型""}",[449],449
ent_023881db1c7534fb,ent_523bba05288753ea,REL_3F8A56C3E0,rel_a1e5fb3d9fec7c7f,主开关拒动或误动,主配电板,故障类型,机电对象,发生于,发生于,发生于,发生于,"[""发生于""]",发生于,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""机电对象""}",[438],438
ent_023881db1c7534fb,ent_9bd64750bfec4ed7,REL_5D9506010F,rel_3c4760ff5bf7ba32,主开关拒动或误动,命令信号灯亮起但主开关不动作,故障类型,故障现象,表现为,表现为,表现为,说明可能存在,"[""说明可能存在""]",说明可能存在,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[438],438
ent_024da1ee0f1c3060,ent_ec6d2f643f95e147,REL_9899E5D4D0,rel_b2eb576c103c9d1f,活塞本体磨损变形,活塞卡死,原因因素,故障类型,导致,导致,导致,由...引起,"[""由...引起""]",由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[431],431
ent_0264e17d79dfd7d0,ent_0df3af14a7ec46fd,REL_FEA281029C,rel_e798a609f43e113a,安装质量,分油机,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
ent_0264e17d79dfd7d0,ent_1ff4b8c684cd3f2e,REL_FEA281029C,rel_1df21522b9b97b4d,安装质量,报警与控制系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
ent_0264e17d79dfd7d0,ent_48a108bcc4076287,REL_FEA281029C,rel_1a8187f7054dce1a,安装质量,发电与配电系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
ent_0264e17d79dfd7d0,ent_637b26b3e71416a6,REL_FEA281029C,rel_287e79929a51bb48,安装质量,液压与辅助机械系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
ent_0264e17d79dfd7d0,ent_87d91ffec8479486,REL_FEA281029C,rel_b8be0b6c03dc6893,安装质量,变频器,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
