relationship_id,neo4j_rel_type,source_entity_id,target_entity_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
rel_cd166e71fc48cbc9,REL_5D9506010F,ent_011eebc548e805df,ent_2ee7735ca5a5667c,机械磨损加剧,间歇停机,故障类型,故障现象,表现为,表现为,表现为,问题,"[""问题""]",问题,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[448],448
rel_fda273d732aacf65,REL_3F8A56C3E0,ent_011eebc548e805df,ent_56b8c9d6c612020a,机械磨损加剧,机械,故障类型,机电对象,发生于,发生于,发生于,是...根源,"[""是...根源""]",是...根源,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""机电对象""}",[448],448
rel_840c5bcdba5ca767,REL_5D9506010F,ent_011eebc548e805df,ent_6a66419b3473492f,机械磨损加剧,温升偏高,故障类型,故障现象,表现为,表现为,表现为,问题,"[""问题""]",问题,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[448],448
rel_5ee421cb17899a82,REL_5D9506010F,ent_011eebc548e805df,ent_d9c9f6cfacd04375,机械磨损加剧,压力不足,故障类型,故障现象,表现为,表现为,表现为,问题,"[""问题""]",问题,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[448],448
rel_fc6bc954a2c432c6,REL_9899E5D4D0,ent_016be4e5e417d833,ent_6d4c26619604c397,传动失效,水泵故障,原因因素,故障类型,导致,导致,导致,原因包括,"[""原因包括""]",原因包括,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[432],432
rel_3e92973c05fd17c4,REL_C8F49B50A6,ent_021d62ef0835c768,ent_918b42b42e7688dd,关键部件定期更换,活塞活门破裂,预防管理策略,故障类型,用于预防,用于预防,用于预防,避免...被动局面,"[""避免...被动局面""]",避免...被动局面,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于预防"", ""relation_key"": ""用于预防"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""故障类型""}",[449],449
rel_a1e5fb3d9fec7c7f,REL_3F8A56C3E0,ent_023881db1c7534fb,ent_523bba05288753ea,主开关拒动或误动,主配电板,故障类型,机电对象,发生于,发生于,发生于,发生于,"[""发生于""]",发生于,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""机电对象""}",[438],438
rel_3c4760ff5bf7ba32,REL_5D9506010F,ent_023881db1c7534fb,ent_9bd64750bfec4ed7,主开关拒动或误动,命令信号灯亮起但主开关不动作,故障类型,故障现象,表现为,表现为,表现为,说明可能存在,"[""说明可能存在""]",说明可能存在,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[438],438
rel_b2eb576c103c9d1f,REL_9899E5D4D0,ent_024da1ee0f1c3060,ent_ec6d2f643f95e147,活塞本体磨损变形,活塞卡死,原因因素,故障类型,导致,导致,导致,由...引起,"[""由...引起""]",由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[431],431
rel_e798a609f43e113a,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_0df3af14a7ec46fd,安装质量,分油机,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_1df21522b9b97b4d,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_1ff4b8c684cd3f2e,安装质量,报警与控制系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_1a8187f7054dce1a,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_48a108bcc4076287,安装质量,发电与配电系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_287e79929a51bb48,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_637b26b3e71416a6,安装质量,液压与辅助机械系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_b8be0b6c03dc6893,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_87d91ffec8479486,安装质量,变频器,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_17d236a4d7dce491,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_9836c6cfe96e4b0c,安装质量,船舶主推进装置,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_4d0c78b9fac168f1,REL_FEA281029C,ent_0264e17d79dfd7d0,ent_d14f87aaeab78d0c,安装质量,废气锅炉,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
