observation_id:ID(Observation-ID),:LABEL,text,kind,source_kind,attribute_key,attribute_value,relation_type,peer_entity_id,peer_entity_name,direction,source_chunk_ids_json,source_chunk_ids_pipe
obs_003e1415bf73,Observation,与 焊接记录 存在 依据 关系,relation_projection,relation,,,依据,ent_5e9c8c79230fd8fa,焊接记录,outgoing,[346],346
obs_004ee3703c7b,Observation,被 优化润滑冷却 以 处理 关系连接,relation_projection,relation,,,处理,ent_8f1da5acc8f720bb,优化润滑冷却,incoming,[354],354
obs_005fec06031f,Observation,与 损伤 存在 发现 关系,relation_projection,relation,,,发现,ent_0213b7fabde76d81,损伤,outgoing,[344],344
obs_008020f3b0c1,Observation,被 启动操作规范 以 针对 关系连接,relation_projection,relation,,,针对,ent_69ba98a7a143251d,启动操作规范,incoming,[351],351
obs_008a21f01c2d,Observation,被 部件更换作业 以 监控 关系连接,relation_projection,relation,,,监控,ent_25bfc747274da287,部件更换作业,incoming,[341],341
obs_00935758c41b,Observation,被 故障勘验 以 前置于 关系连接,relation_projection,relation,,,前置于,ent_6251d9fced493149,故障勘验,incoming,[329],329
obs_00ada2d3cd70,Observation,与 断裂 存在 发生故障 关系,relation_projection,relation,,,发生故障,ent_392c2151f78d5ed4,断裂,outgoing,[355],355
obs_00c1c28eb1c6,Observation,与 工序间检验 存在 前置于 关系,relation_projection,relation,,,前置于,ent_a8ca98afc724c9a1,工序间检验,outgoing,[336],336
obs_00f3b5bb7af6,Observation,被 气缸套圆柱度检测 以 检测 关系连接,relation_projection,relation,,,检测,ent_f1d519f70ee73edd,气缸套圆柱度检测,incoming,[333],333
obs_010553ee29e5,Observation,被 冲车试验 以 发现 关系连接,relation_projection,relation,,,发现,ent_c7cd5382a1dfbfe8,冲车试验,incoming,[347],347
obs_012f09dfed59,Observation,被 部件清洁与预处理 以 针对 关系连接,relation_projection,relation,,,针对,ent_2f053cc1c23e3bd6,部件清洁与预处理,incoming,[332],332
obs_016ea93ac5ee,Observation,与 优化润滑冷却 存在 采用维修工艺 关系,relation_projection,relation,,,采用维修工艺,ent_8f1da5acc8f720bb,优化润滑冷却,outgoing,[354],354
obs_01823d035e20,Observation,与 维修方案 存在 依据 关系,relation_projection,relation,,,依据,ent_5bc9c1bcf2fd9ffd,维修方案,outgoing,[339],339
obs_01843d03f8b6,Observation,与 冷却水温度 存在 监控 关系,relation_projection,relation,,,监控,ent_f22e0a0777d219de,冷却水温度,outgoing,[347],347
obs_0199c4555a7a,Observation,被 发电机 以 发生故障 关系连接,relation_projection,relation,,,发生故障,ent_c08a47e1067219df,发电机,incoming,[355],355
obs_01af42fadc53,Observation,被 气缸套镗磨 以 产出 关系连接,relation_projection,relation,,,产出,ent_50201b709e2ba925,气缸套镗磨,incoming,[340],340
obs_01d71f999c62,Observation,被 装配前准备 以 针对 关系连接,relation_projection,relation,,,针对,ent_90fa0868170c0e82,装配前准备,incoming,[341],341
obs_022de0b0f79b,Observation,与 轴瓦 存在 检测 关系,relation_projection,relation,,,检测,ent_e61e5e23e63c52ee,轴瓦,outgoing,[333],333
obs_02547efd06b7,Observation,与 水垢 存在 处理 关系,relation_projection,relation,,,处理,ent_d373de1e65859ef9,水垢,outgoing,[339],339
obs_028a4519a756,Observation,与 冷却水系统管路 存在 针对 关系,relation_projection,relation,,,针对,ent_901af3ed58de920b,冷却水系统管路,outgoing,[341],341
obs_028b00b84856,Observation,与 各缸压缩间隙 存在 检测 关系,relation_projection,relation,,,检测,ent_70ec284c67c954db,各缸压缩间隙,outgoing,[345],345
