:START_ID(Entity-ID),:END_ID(Entity-ID),:TYPE,relationship_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
ent_000e223a3d2bae71,ent_5dfd7f21110ff391,FOLLOWS,rel_750f1f9117d240f3,PMS 自动并车同步过程逻辑,PMS 自动同步与 VFD 技术规范,作业活动,规范程序,遵循,遵循,遵循,遵循严格的物理逻辑,"[""遵循严格的物理逻辑""]",遵循严格的物理逻辑,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""遵循"", ""relation_key"": ""遵循"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""规范程序""}",[374],374,FOLLOWS,遵循,Follows,遵循 / Follows
ent_0016dfde619b1206,ent_d81d42eff45dc9b5,CAUSES,rel_bdd53cdbd8a7cc0c,浮球卡滞,液位信号跳变,原因因素,故障异常,导致,导致,导致,多见于,"[""多见于""]",多见于,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[382],382,CAUSES,导致,Causes,导致 / Causes
ent_00784c5550366ab3,ent_7bda816b710c1e96,POWERS,rel_4299b2027a04e495,防潮加热器,发电机,设备部件,设备部件,供电,供电,供电,电动机自带的,"[""电动机自带的""]",电动机自带的,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""供电"", ""relation_key"": ""供电"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""设备部件""}",[377],377,POWERS,供电,Powers,供电 / Powers
ent_01cb9d63b82bdbaa,ent_2df7f642718f306b,CAUSES,rel_0ee6fe979fe40032,线圈烧毁,电磁阀不动作,原因因素,故障异常,导致,导致,导致,由...引起,"[""由...引起""]",由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[383],383,CAUSES,导致,Causes,导致 / Causes
ent_01f538fca6735763,ent_a56b62d908bc2190,MEASURES,rel_7339b0f92fa80178,调速器,转速,设备部件,监测指标,监测,监测,监测,调节转速,"[""调节转速""]",调节转速,,unmapped,null,[375],375,MEASURES,监测,Measures,监测 / Measures
ent_02bc9cc6260cd189,ent_5a0830226afad0a7,TARGETS,rel_df2f8856a3bd99fa,日常运维,电气系统,作业活动,电气系统,针对,针对,针对,全船电气系统的,"[""全船电气系统的""]",全船电气系统的,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""电气系统""}",[360],360,TARGETS,针对,Targets,针对 / Targets
ent_02d652588d8e4136,ent_70f4a1c9e4c4413f,TARGETS,rel_4e585318d51900ec,实践维护,设备,作业活动,设备部件,针对,针对,针对,延长设备寿命,"[""延长设备寿命""]",延长设备寿命,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""设备部件""}",[366],366,TARGETS,针对,Targets,针对 / Targets
ent_02e7c5da5157fa42,ent_d89dc73a9823fdb1,CAUSES,rel_562bbdb17c08f15c,接线错误,温度传感器显示偏高或偏低,原因因素,故障异常,导致,导致,导致,可能由...引起,"[""可能由...引起""]",可能由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[382],382,CAUSES,导致,Causes,导致 / Causes
ent_0560316518203a3e,ent_1c13d7caae982918,CAUSES,rel_4fd7d391de20c760,控制电压不稳,接触器频繁吸合释放,原因因素,故障异常,导致,导致,导致,与...有关,"[""与...有关""]",与...有关,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[383],383,CAUSES,导致,Causes,导致 / Causes
ent_06700f0f3872347f,ent_e36c25b3cf9e1ef0,TARGETS,rel_0aff0676cbed6e16,基础维护,机舱设备,作业活动,设备部件,针对,针对,针对,机舱设备管理,"[""机舱设备管理""]",机舱设备管理,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""设备部件""}",[360],360,TARGETS,针对,Targets,针对 / Targets
