observation_id:ID(Observation-ID),:LABEL,text,kind,source_kind,attribute_key,attribute_value,relation_type,peer_entity_id,peer_entity_name,direction,source_chunk_ids_json,source_chunk_ids_pipe
obs_001b38786704,Observation,被 发电机 AVR 故障致电压不稳案例 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_4f2c3d4e8543f1ae,发电机 AVR 故障致电压不稳案例,incoming,[446],446
obs_004449ac9d6c,Observation,被 加强燃油净化和分油机管理 以 用于处理 关系连接,relation_projection,relation,,,用于处理,ent_4db7749a66d154ed,加强燃油净化和分油机管理,incoming,[435],435
obs_0044ae5c67ad,Observation,与 液压与辅助机械系统 存在 适用于 关系,relation_projection,relation,,,适用于,ent_637b26b3e71416a6,液压与辅助机械系统,outgoing,[451],451
obs_005666fa0072,Observation,被 滤器堵塞 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_bc55f7e8fd4292f6,滤器堵塞,incoming,[448],448
obs_0077e0efdf22,Observation,被 温度传感器 以 监测 关系连接,relation_projection,relation,,,监测,ent_761f229077351b8b,温度传感器,incoming,[433],433
obs_00a16e32fdac,Observation,被 断电试验 以 监测 关系连接,relation_projection,relation,,,监测,ent_958d6633adbef794,断电试验,incoming,[444],444
obs_00a7fda90a00,Observation,被 压力传感器 以 用于诊断 关系连接,relation_projection,relation,,,用于诊断,ent_919a70e6d5e37a4b,压力传感器,incoming,[433],433
obs_00a9fb103632,Observation,与 外部端子无松动脱落 存在 表现为 关系,relation_projection,relation,,,表现为,ent_293b2eb110f71e0e,外部端子无松动脱落,outgoing,[443],443
obs_00bdcf4ffd14,Observation,被 冷却系统高温故障 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_631004ef2994eaec,冷却系统高温故障,incoming,[435],435
obs_00c09f61977c,Observation,被 油泵故障 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_7f590683648abeb0,油泵故障,incoming,[432],432
obs_00dfd6b220c9,Observation,与 人员伤害 存在 触发 关系,relation_projection,relation,,,触发,ent_8b24128a51ff1a03,人员伤害,outgoing,[429],429
obs_00dfd9da2c71,Observation,与 要求压载泵分时启动 存在 采取 关系,relation_projection,relation,,,采取,ent_86b9743f34b57bbe,要求压载泵分时启动,outgoing,[446],446
obs_00e064a667be,Observation,与 报警系统失灵—屏蔽线断裂案例 存在 用于预防 关系,relation_projection,relation,,,用于预防,ent_e370ca651c0b991d,报警系统失灵—屏蔽线断裂案例,outgoing,[441],441
obs_00fb9209563d,Observation,与 检查轴向振动监控器 LC-AVM-01 控制板外观 存在 采用 关系,relation_projection,relation,,,采用,ent_b8abf82e08b0fd7b,检查轴向振动监控器 LC-AVM-01 控制板外观,outgoing,[443],443
obs_01c08754dcac,Observation,被 油泵故障 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_7f590683648abeb0,油泵故障,incoming,[432],432
obs_01d90f4ab70a,Observation,被 机械磨损加剧 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_011eebc548e805df,机械磨损加剧,incoming,[448],448
obs_025bdbf1eee5,Observation,被 电机负载突变 以 导致 关系连接,relation_projection,relation,,,导致,ent_22fbad2898f790f0,电机负载突变,incoming,[439],439
obs_02777be900df,Observation,与 发热加剧 存在 表现为 关系,relation_projection,relation,,,表现为,ent_4e45f3f2254ee000,发热加剧,outgoing,[432],432
obs_027e5120a5f8,Observation,与 保护缺失 存在 触发 关系,relation_projection,relation,,,触发,ent_163c832d6e6d661e,保护缺失,outgoing,[450],450
obs_0291f047a86c,Observation,被 接线端子松动未发现 以 导致 关系连接,relation_projection,relation,,,导致,ent_40e361fbdc7e51a9,接线端子松动未发现,incoming,[454],454
obs_029bf8f96036,Observation,与 更换 LC-AVM-01 电路板备件后故障彻底消失 存在 表现为 关系,relation_projection,relation,,,表现为,ent_5b5929250295798b,更换 LC-AVM-01 电路板备件后故障彻底消失,outgoing,[443],443
obs_02b28846b561,Observation,被 舵机失灵 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_e3bf83d9a59b54dc,舵机失灵,incoming,[429],429
obs_02b60ede2708,Observation,与 主机 存在 涉及 关系,relation_projection,relation,,,涉及,ent_51f510ed28884a33,主机,outgoing,[445],445
obs_02e9cc928345,Observation,被 液压泵磨损 以 导致 关系连接,relation_projection,relation,,,导致,ent_dbab623f30bb6f8e,液压泵磨损,incoming,[437],437
obs_0310d1d805de,Observation,被 主密封圈损坏 以 导致 关系连接,relation_projection,relation,,,导致,ent_a5cbc218401a184f,主密封圈损坏,incoming,[440],440
obs_032736f53b67,Observation,被 散热恶化 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_4db2e920d28604c9,散热恶化,incoming,[448],448
obs_035523bb801e,Observation,被 吸入管路漏气 以 导致 关系连接,relation_projection,relation,,,导致,ent_a569f9428f5cba92,吸入管路漏气,incoming,[437],437
obs_036076ecf126,Observation,被 自动化控制因素 以 导致 关系连接,relation_projection,relation,,,导致,ent_fa8f855d418caed5,自动化控制因素,incoming,[427],427
obs_037e0a2b5388,Observation,与 保护缺失 存在 触发 关系,relation_projection,relation,,,触发,ent_163c832d6e6d661e,保护缺失,outgoing,[450],450
obs_0386f775fb39,Observation,被 发电机 AVR 故障致电压不稳案例 以 采取 关系连接,relation_projection,relation,,,采取,ent_4f2c3d4e8543f1ae,发电机 AVR 故障致电压不稳案例,incoming,[446],446
obs_03a72fbb0983,Observation,与 推力轴承松动 存在 涉及 关系,relation_projection,relation,,,涉及,ent_8af0ed55e14cc7af,推力轴承松动,outgoing,[443],443
obs_03cf327ad6fc,Observation,被 水汽 以 导致 关系连接,relation_projection,relation,,,导致,ent_17eee8fa1dd69499,水汽,incoming,[448],448
obs_03fa199276d8,Observation,与 绝缘不良 存在 导致 关系,relation_projection,relation,,,导致,ent_2ca24d552c49d035,绝缘不良,outgoing,[438],438
obs_040184b2333e,Observation,被 泵气蚀 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_2cdab1820239a934,泵气蚀,incoming,[449],449
obs_041e748c815e,Observation,被 全船失电—压载泵过载跳电案例 以 采取 关系连接,relation_projection,relation,,,采取,ent_e12360f65d9a78a6,全船失电—压载泵过载跳电案例,incoming,[446],446
obs_043bd2dd468a,Observation,被 FMECA 以 监测 关系连接,relation_projection,relation,,,监测,ent_038360f851d3c01c,FMECA,incoming,[427],427
obs_047568bb89d9,Observation,被 恶劣天气 以 导致 关系连接,relation_projection,relation,,,导致,ent_d2231ce1a2daa422,恶劣天气,incoming,[429],429
obs_04a3ac16572d,Observation,与 油轮 存在 适用于 关系,relation_projection,relation,,,适用于,ent_088f7488061f072e,油轮,outgoing,[429],429
obs_04ca2a58d95e,Observation,被 加速度计 以 用于诊断 关系连接,relation_projection,relation,,,用于诊断,ent_d62da8702d2bea11,加速度计,incoming,[434],434
obs_04d60c09b637,Observation,被 某船寒冷季节主机无法启动案例 以 涉及 关系连接,relation_projection,relation,,,涉及,ent_f601336cad6f7d32,某船寒冷季节主机无法启动案例,incoming,[445],445
obs_04e11a535da6,Observation,被 机械部分卡阻 以 导致 关系连接,relation_projection,relation,,,导致,ent_73e64cfc2216a7e8,机械部分卡阻,incoming,[439],439
obs_04e8952800b0,Observation,与 低温腐蚀 存在 导致 关系,relation_projection,relation,,,导致,ent_5c3d012c34920371,低温腐蚀,outgoing,[440],440
obs_0512260f557d,Observation,被 振动传感器 以 监测 关系连接,relation_projection,relation,,,监测,ent_2f2c30092f71fa67,振动传感器,incoming,[434],434
obs_051691b17684,Observation,与 过热故障 存在 导致 关系,relation_projection,relation,,,导致,ent_d854be29d72ba872,过热故障,outgoing,[439],439
obs_051a2e7ad989,Observation,被 船舶故障案例 以 归因于 关系连接,relation_projection,relation,,,归因于,ent_44b49007e2586395,船舶故障案例,incoming,[455],455
obs_051cdbd08fcf,Observation,与 齿轮磨损 存在 用于诊断 关系,relation_projection,relation,,,用于诊断,ent_567c0e29ea134e8e,齿轮磨损,outgoing,[434],434
obs_053439839ebd,Observation,与 保护元件 存在 导致 关系,relation_projection,relation,,,导致,ent_32e4d0f26ac4b6e9,保护元件,outgoing,[454],454
obs_054af58cf08c,Observation,与 散热器堵塞 存在 导致 关系,relation_projection,relation,,,导致,ent_193292d6c8619079,散热器堵塞,outgoing,[433],433
obs_054e48e50643,Observation,与 变频器 存在 适用于 关系,relation_projection,relation,,,适用于,ent_87d91ffec8479486,变频器,outgoing,[451],451
obs_057a2ab9b784,Observation,被 活塞卡死 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_ec6d2f643f95e147,活塞卡死,incoming,[431],431
obs_0598857438b5,Observation,被 主机无法启动 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_ee247bf4973d445d,主机无法启动,incoming,[445],445
obs_059dd8156566,Observation,被 舵机液压系统压力异常 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_5f2c8fd174f704b6,舵机液压系统压力异常,incoming,[437],437
obs_05be686e9d6b,Observation,被 2024 年 8 月 16 日船舶主机异常停车案例 以 涉及 关系连接,relation_projection,relation,,,涉及,ent_f706a5ed9190f7a2,2024 年 8 月 16 日船舶主机异常停车案例,incoming,[444],444
obs_05beb8be4e5e,Observation,与 报警与控制系统 存在 适用于 关系,relation_projection,relation,,,适用于,ent_1ff4b8c684cd3f2e,报警与控制系统,outgoing,[451],451
obs_05fc9b9bf280,Observation,被 不对中 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_0631fe42b5b5605b,不对中,incoming,[434],434
obs_06017d6aba51,Observation,与 金属疲劳 存在 导致 关系,relation_projection,relation,,,导致,ent_44814f288a81b55a,金属疲劳,outgoing,[448],448
obs_06098ad6b1da,Observation,与 变频器 存在 监测 关系,relation_projection,relation,,,监测,ent_87d91ffec8479486,变频器,outgoing,"[449, 457]",449|457
obs_065bbebc14ba,Observation,被 螺栓松动 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_b4f07d07875cf7d8,螺栓松动,incoming,[448],448
obs_065bd64fe460,Observation,被 环境受潮 以 导致 关系连接,relation_projection,relation,,,导致,ent_37c4ef3f3831c161,环境受潮,incoming,[438],438
obs_068fce993c13,Observation,与 主机因保护逻辑自动降速 存在 表现为 关系,relation_projection,relation,,,表现为,ent_3568be4642478ca2,主机因保护逻辑自动降速,outgoing,[441],441
obs_06b663616f05,Observation,被 回装时对位标记错误 以 导致 关系连接,relation_projection,relation,,,导致,ent_eed9031e06590d34,回装时对位标记错误,incoming,[440],440
obs_071b9475322b,Observation,被 松动 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_e26340d54ebbc92e,松动,incoming,[434],434
obs_072ceb70c908,Observation,与 碰撞 存在 触发 关系,relation_projection,relation,,,触发,ent_a8394415b8dc90ca,碰撞,outgoing,[429],429
obs_075075f129de,Observation,与 主机 存在 监测 关系,relation_projection,relation,,,监测,ent_51f510ed28884a33,主机,outgoing,[457],457
obs_0761c430b9e9,Observation,与 主机 存在 监测 关系,relation_projection,relation,,,监测,ent_51f510ed28884a33,主机,outgoing,[443],443
obs_07683a488b4c,Observation,与 建立大功率负载启动审批制度 存在 采取 关系,relation_projection,relation,,,采取,ent_397df71803808e66,建立大功率负载启动审批制度,outgoing,[446],446
obs_0782e6aeb2ce,Observation,被 过电流故障 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_3fc0d67890072097,过电流故障,incoming,[439],439
obs_0794c844f758,Observation,与 声光报警 存在 表现为 关系,relation_projection,relation,,,表现为,ent_ed259bf7fc022263,声光报警,outgoing,[438],438
obs_07a7dbc4a16a,Observation,与 MAN B&W6S70MC-C7 主机 存在 涉及 关系,relation_projection,relation,,,涉及,ent_6df402a3b0bd7676,MAN B&W6S70MC-C7 主机,outgoing,[428],428
obs_07babf582901,Observation,与 清洁内部通风路径 存在 采取 关系,relation_projection,relation,,,采取,ent_bf19a7676d9c8809,清洁内部通风路径,outgoing,[446],446
obs_07bd0b5d34cc,Observation,被 滤器堵塞 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_bc55f7e8fd4292f6,滤器堵塞,incoming,[448],448
obs_07de585ed75b,Observation,被 对中精度 以 适用于 关系连接,relation_projection,relation,,,适用于,ent_f8b2ed760901aa38,对中精度,incoming,[451],451
obs_07f948693d9f,Observation,被 趋势记录 以 监测 关系连接,relation_projection,relation,,,监测,ent_420c5f009d940ccb,趋势记录,incoming,[449],449
obs_0800093d6c91,Observation,被 压力变送器 PT8108 监控 以 监测 关系连接,relation_projection,relation,,,监测,ent_c993665599d93214,压力变送器 PT8108 监控,incoming,[443],443
obs_081a754d8e0f,Observation,与 舵机液压系统压力异常 存在 导致 关系,relation_projection,relation,,,导致,ent_5f2c8fd174f704b6,舵机液压系统压力异常,outgoing,[437],437
obs_083706d29fb8,Observation,被 随机森林 以 用于诊断 关系连接,relation_projection,relation,,,用于诊断,ent_12435a86e5860a28,随机森林,incoming,[435],435
obs_0837adcb54e5,Observation,被 振动传感器 以 用于诊断 关系连接,relation_projection,relation,,,用于诊断,ent_2f2c30092f71fa67,振动传感器,incoming,[434],434
obs_0845234b8d5d,Observation,与 电动机 存在 监测 关系,relation_projection,relation,,,监测,ent_bb5e8a8151c400ef,电动机,outgoing,[449],449
obs_0870708875d2,Observation,被 端子松动 以 导致 关系连接,relation_projection,relation,,,导致,ent_5cd8001e4d689475,端子松动,incoming,[452],452
obs_08a54af1cdea,Observation,与 油滤器堵塞 存在 导致 关系,relation_projection,relation,,,导致,ent_8d95bcef7e30895d,油滤器堵塞,outgoing,[432],432
obs_08af39f05047,Observation,与 压力不足 存在 表现为 关系,relation_projection,relation,,,表现为,ent_d9c9f6cfacd04375,压力不足,outgoing,[448],448
obs_08b5a6922d47,Observation,与 绝缘不良 存在 用于处理 关系,relation_projection,relation,,,用于处理,ent_2ca24d552c49d035,绝缘不良,outgoing,[438],438
obs_08baf09a908e,Observation,被 培训教材 以 用于预防 关系连接,relation_projection,relation,,,用于预防,ent_4b42c9bef5fabbc5,培训教材,incoming,[456],456
obs_08daab3239c0,Observation,被 阶梯保护逻辑被绕过 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_240e10fd7fcbfdf7,阶梯保护逻辑被绕过,incoming,[444],444
obs_08dfe3ade91f,Observation,被 振动传感器 以 用于诊断 关系连接,relation_projection,relation,,,用于诊断,ent_2f2c30092f71fa67,振动传感器,incoming,[434],434
obs_08f2319d8446,Observation,与 排黑烟 存在 导致 关系,relation_projection,relation,,,导致,ent_d448e73198f8573b,排黑烟,outgoing,[435],435
obs_08fb91862ca8,Observation,被 某内河散货船主机燃油管破裂案例 以 归因于 关系连接,relation_projection,relation,,,归因于,ent_c467ab9f991c99d4,某内河散货船主机燃油管破裂案例,incoming,[445],445
obs_0925462585eb,Observation,被 气门故障 以 导致 关系连接,relation_projection,relation,,,导致,ent_6a4c43d27005409e,气门故障,incoming,[431],431
obs_094ecf13a664,Observation,被 气门故障 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_6a4c43d27005409e,气门故障,incoming,[431],431
obs_09dc465b8be2,Observation,被 冷却水温高 以 触发 关系连接,relation_projection,relation,,,触发,ent_6cec10e973fa9ec5,冷却水温高,incoming,[438],438
obs_09e433f01b59,Observation,被 MANB&W6S70MC-C7 以 涉及 关系连接,relation_projection,relation,,,涉及,ent_b3e94f2312e6fc6d,MANB&W6S70MC-C7,incoming,[442],442
obs_09f253a2aa4d,Observation,与 活塞活门破裂 存在 用于预防 关系,relation_projection,relation,,,用于预防,ent_918b42b42e7688dd,活塞活门破裂,outgoing,[449],449
obs_0a0404a04293,Observation,与 变频器 存在 监测 关系,relation_projection,relation,,,监测,ent_87d91ffec8479486,变频器,outgoing,[449],449
obs_0a0e731d04bc,Observation,与 气门故障 存在 导致 关系,relation_projection,relation,,,导致,ent_6a4c43d27005409e,气门故障,outgoing,[431],431
obs_0a4431624109,Observation,与 主机滑油低压导致异常停车 TRIP 存在 涉及 关系,relation_projection,relation,,,涉及,ent_2ca64cb9c6eff4f5,主机滑油低压导致异常停车 TRIP,outgoing,[443],443
obs_0a6d7326d846,Observation,被 长期运行在低温条件下而未按规定切换轻柴油 以 导致 关系连接,relation_projection,relation,,,导致,ent_52f04580c8e5b3b2,长期运行在低温条件下而未按规定切换轻柴油,incoming,[435],435
obs_0ab228400680,Observation,被 2024 年 5 月 13 日船舶空载航行故障案例 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_450daa32ef62561e,2024 年 5 月 13 日船舶空载航行故障案例,incoming,[442],442
