:START_ID(Entity-ID),:END_ID(Entity-ID),:TYPE,relationship_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
ent_00081508f4e60366,ent_d946bed6647fb563,REL_F397DD8B78,rel_5722a91a635da89f,用手动砂轮打出约 20 mm 坡口,缸头,处置措施,设备部件,处理对象,处理对象,处理对象,打出,"[""打出""]",打出,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[498],498
ent_002f06e36c771128,ent_6a93019fd8bdc32e,REL_F397DD8B78,rel_ef70798e97c53c0f,更换油头,油头,处置措施,设备部件,处理对象,处理对象,处理对象,更换,"[""更换""]",更换,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[479],479
ent_00829985204a0b85,ent_0003afcded4463a0,REL_EDD5CAA12A,rel_c8528b6784cf8d41,失去弹性并严重磨损,第 4 道令,故障损伤,设备部件,发生部位,发生部位,发生部位,发现...失去弹性并严重磨损,"[""发现...失去弹性并严重磨损""]",发现...失去弹性并严重磨损,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[507],507
ent_00b5eb72aadb3c14,ent_038802c6c8d34fe2,REL_B855FE5F5B,rel_e28982bdcee7b88d,GAY 轮主机透平重复发生故障和损坏,拖延修理,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462
ent_00b5eb72aadb3c14,ent_095b28a36c45562a,REL_5D9506010F,rel_273c01fbab1f8c2a,GAY 轮主机透平重复发生故障和损坏,主机转速加不上去,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_0bf852ab7ad7d6e4,REL_B855FE5F5B,rel_a5e29842e2c1499d,GAY 轮主机透平重复发生故障和损坏,存在侥幸心理,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462
ent_00b5eb72aadb3c14,ent_16b0f7ba006ec40c,REL_5D9506010F,rel_cd8f4e4f4cc96712,GAY 轮主机透平重复发生故障和损坏,风机端叶轮与壳体有擦碰痕迹,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_1c0a13bbcdbc6b95,REL_3F8A56C3E0,rel_457d8115eea48fa5,GAY 轮主机透平重复发生故障和损坏,PASLRGUDA 港,事故案例,地点,发生于,发生于,发生于,开离...后,"[""开离...后""]",开离...后,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""地点""}",[462],462
ent_00b5eb72aadb3c14,ent_2be0a0457add6189,REL_5D9506010F,rel_fbb1f62a4db91aaa,GAY 轮主机透平重复发生故障和损坏,油气封损坏,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_2c8c120cb9d3a4d0,REL_B855FE5F5B,rel_235b41ff062e95cd,GAY 轮主机透平重复发生故障和损坏,没有按照说明书规定和要求实施拆装,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462
ent_00b5eb72aadb3c14,ent_37eda08035a6e4a5,REL_5D9506010F,rel_c6fb500ffe58d8b6,GAY 轮主机透平重复发生故障和损坏,油泵咬死,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_3952ad41ae67bd0b,REL_5D0512FBC4,rel_154e79f7cc9b4124,GAY 轮主机透平重复发生故障和损坏,科伦坡港,事故案例,地点,处置于,处置于,处置于,抵...港,"[""抵...港""]",抵...港,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处置于"", ""relation_key"": ""处置于"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""地点""}",[462],462
ent_00b5eb72aadb3c14,ent_397fd086881e9224,REL_5D9506010F,rel_571397dc0c6512dd,GAY 轮主机透平重复发生故障和损坏,严重摩擦声,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_49cf0e2641c6de2f,REL_5D9506010F,rel_6b2aa4247b5a93de,GAY 轮主机透平重复发生故障和损坏,主机转速急剧下降,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_53d7f5ba346e0625,REL_5D9506010F,rel_0b9aa7568dc60bec,GAY 轮主机透平重复发生故障和损坏,油泵断油,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_58c6fa8aad5d91d5,REL_5BE0DD1AA4,rel_47bf6b915e1d0445,GAY 轮主机透平重复发生故障和损坏,安排新加坡中远海事派人上船修理,事故案例,处置措施,采取,采取,采取,安排...修理,"[""安排...修理""]",安排...修理,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462
ent_00b5eb72aadb3c14,ent_75ac32004d4fedab,REL_5BE0DD1AA4,rel_571231d31f5a9463,GAY 轮主机透平重复发生故障和损坏,重新订购透平转子等备件,事故案例,处置措施,采取,采取,采取,重新订购,"[""重新订购""]",重新订购,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462
ent_00b5eb72aadb3c14,ent_900965857ba1acf7,REL_5D9506010F,rel_61a786135939e4cc,GAY 轮主机透平重复发生故障和损坏,主机无法提速,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_9c0172903ad5df7c,REL_5BE0DD1AA4,rel_f16c13a3fe40cdb4,GAY 轮主机透平重复发生故障和损坏,再次折返科伦坡港,事故案例,处置措施,采取,采取,采取,折返,"[""折返""]",折返,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462
ent_00b5eb72aadb3c14,ent_9cb657cd9c058402,REL_5D9506010F,rel_34d3c7ce30c7c1b6,GAY 轮主机透平重复发生故障和损坏,排烟高温,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462
ent_00b5eb72aadb3c14,ent_a82f5efa089f1c7a,REL_5BE0DD1AA4,rel_38c7e047bc7c1db9,GAY 轮主机透平重复发生故障和损坏,装复续航,事故案例,处置措施,采取,采取,采取,装复续航,"[""装复续航""]",装复续航,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462
ent_00b5eb72aadb3c14,ent_ae6b8003c1468e73,REL_5BE0DD1AA4,rel_4bdac10ccb2e8eba,GAY 轮主机透平重复发生故障和损坏,慢速坚持航行至科伦坡港,事故案例,处置措施,采取,采取,采取,慢速坚持航行,"[""慢速坚持航行""]",慢速坚持航行,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462
ent_00b5eb72aadb3c14,ent_af732277fd57af8e,REL_5BE0DD1AA4,rel_4f5f012464f8e0ec,GAY 轮主机透平重复发生故障和损坏,更换两端轴承、油泵和油气封,事故案例,处置措施,采取,采取,采取,更换,"[""更换""]",更换,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462
