:START_ID(Entity-ID),:END_ID(Entity-ID),:TYPE,relationship_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
ent_0125cc0bd7bd9b14,ent_08d380f13e73499a,REL_B3FF0C7392,rel_8e2678875895bc98,装配工序检验,螺栓预紧力,检验/试验,参数/指标,检测,检测,检测,检查,"[""检查""]",检查,,unmapped,null,[344],344
ent_0125cc0bd7bd9b14,ent_5118f908d2a11dfd,REL_6931BB1DA1,rel_0968c7dddf8e63dd,装配工序检验,装配工序检验记录,检验/试验,文件,产出,产出,产出,出具,"[""出具""]",出具,,unmapped,null,[344],344
ent_0125cc0bd7bd9b14,ent_c9c04f201fd4709d,REL_B3FF0C7392,rel_1c9f8ac87a922194,装配工序检验,配合间隙,检验/试验,参数/指标,检测,检测,检测,测量,"[""测量""]",测量,,unmapped,null,[344],344
ent_04e9c487554c03dd,ent_e1e413181256ce4b,REL_C64883763F,rel_ffd9dacdc5f8e8fd,缸体,缸体裂损与变形,设备对象,故障/异常,发生故障,发生故障,发生故障,常见故障为,"[""常见故障为""]",常见故障为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生故障"", ""relation_key"": ""发生故障"", ""source_entity_type"": ""设备对象"", ""target_entity_type"": ""故障/异常""}",[354],354
ent_068493579e025c46,ent_8903e65b27cc77ee,REL_FEA281029C,rel_d20793db20f53681,曲轴修复,船舶主机关键部件,维修工艺/措施,设备对象,适用于,适用于,适用于,修复...部件,"[""修复...部件""]",修复...部件,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""维修工艺/措施"", ""target_entity_type"": ""设备对象""}",[337],337
ent_080e5efdbf42c5dd,ent_fef38f2b481cd055,REL_9263E46A01,rel_c52f44a3770e98b7,控制单缸负荷,磨损,维修工艺/措施,故障/异常,处理,处理,处理,避免...发生,"[""避免...发生""]",避免...发生,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理"", ""relation_key"": ""处理"", ""source_entity_type"": ""维修工艺/措施"", ""target_entity_type"": ""故障/异常""}",[354],354
ent_085adf896cec2ed0,ent_5ab114dbc14da29d,REL_B1BABCEF8C,rel_ee24dd19f66e9c03,签字确认,现场见证检验,维修活动,检验/试验,采用检测方法,采用检测方法,采用检测方法,现场见证检验，签字确认后,"[""现场见证检验，签字确认后""]",现场见证检验，签字确认后,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采用检测方法"", ""relation_key"": ""采用检测方法"", ""source_entity_type"": ""维修活动"", ""target_entity_type"": ""检验/试验""}",[342],342
ent_085adf896cec2ed0,ent_97746b1fd783d4bc,REL_B1BABCEF8C,rel_e288397d0d7c8800,签字确认,专检,维修活动,检验/试验,采用检测方法,采用检测方法,采用检测方法,专检合格后方可...签字确认,"[""专检合格后方可...签字确认""]",专检合格后方可...签字确认,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采用检测方法"", ""relation_key"": ""采用检测方法"", ""source_entity_type"": ""维修活动"", ""target_entity_type"": ""检验/试验""}",[342],342
ent_088a9b6c600f4792,ent_20393a58161449ff,REL_FEA281029C,rel_363f0ba295df211b,启动燃烧系统,主机,设备对象,设备对象,适用于,适用于,适用于,是...的基础,"[""是...的基础""]",是...的基础,,unmapped,null,[351],351
ent_088a9b6c600f4792,ent_77a653cba6bfe6f2,REL_FEA281029C,rel_8f8758e753efdd65,启动燃烧系统,燃滑油供应系统,设备对象,设备对象,适用于,适用于,适用于,与...联动,"[""与...联动""]",与...联动,,unmapped,null,[351],351
