observation_id:ID(Observation-ID),:LABEL,text,kind,source_kind,attribute_key,attribute_value,relation_type,peer_entity_id,peer_entity_name,direction,source_chunk_ids_json,source_chunk_ids_pipe
obs_000039b15a2d,Observation,被 检查吸油管 以 针对 关系连接,relation_projection,relation,,,针对,ent_6928ebf826e4767d,检查吸油管,incoming,[406],406
obs_000db8b8ec81,Observation,被 液压阀组 以 组成 关系连接,relation_projection,relation,,,组成,ent_471a1d5d8589ae4c,液压阀组,incoming,[417],417
obs_002158740c45,Observation,与 水下作业机构 存在 组成 关系,relation_projection,relation,,,组成,ent_a3f40906f2e2663e,水下作业机构,outgoing,[420],420
obs_0048deb038fb,Observation,与 执行机构异常运动 存在 处置 关系,relation_projection,relation,,,处置,ent_a33bf26eb46bd0d3,执行机构异常运动,outgoing,[423],423
obs_0050083b5150,Observation,被 动作不稳 以 影响 关系连接,relation_projection,relation,,,影响,ent_2bf1c15690c39937,动作不稳,incoming,[404],404
obs_0055053536ea,Observation,与 伺服阀 存在 组成 关系,relation_projection,relation,,,组成,ent_c417fd5b89527017,伺服阀,outgoing,[412],412
obs_006e6bdc641f,Observation,被 船舶液压系统 以 组成 关系连接,relation_projection,relation,,,组成,ent_7a562fbf6b0e6308,船舶液压系统,incoming,[388],388
obs_00718c12eb09,Observation,被 智能监控法 以 用于判定 关系连接,relation_projection,relation,,,用于判定,ent_4f55f5827b646ebb,智能监控法,incoming,[397],397
obs_0085cd2778b2,Observation,与 电机 存在 组成 关系,relation_projection,relation,,,组成,ent_2295666c8c0978d9,电机,outgoing,[416],416
obs_00c1b0e8faa6,Observation,与 油液寿命预测 存在 用于判定 关系,relation_projection,relation,,,用于判定,ent_4b9d21c5614deaf4,油液寿命预测,outgoing,[407],407
obs_00c9406638ce,Observation,被 油液污染 以 导致 关系连接,relation_projection,relation,,,导致,ent_8009ce7ee6aa3ea0,油液污染,incoming,[392],392
obs_00d3cd7d8e6c,Observation,被 人工智能模型 以 用于判定 关系连接,relation_projection,relation,,,用于判定,ent_9ab4c537e5327263,人工智能模型,incoming,[407],407
obs_00de692bed09,Observation,被 滤芯更换 以 监测 关系连接,relation_projection,relation,,,监测,ent_0a9fe243ef3966a1,滤芯更换,incoming,[402],402
obs_00e0c2510a59,Observation,被 油液分析 以 用于判定 关系连接,relation_projection,relation,,,用于判定,ent_a76f8e2a7a1fe1aa,油液分析,incoming,[406],406
obs_00fd8f102f23,Observation,被 泵磨损 以 导致 关系连接,relation_projection,relation,,,导致,ent_9c24446808b5e484,泵磨损,incoming,[412],412
obs_01211ea4cd5e,Observation,被 安全原则 以 约束 关系连接,relation_projection,relation,,,约束,ent_72c624b9685cc049,安全原则,incoming,[404],404
obs_013016811dae,Observation,与 酸性物质 存在 导致 关系,relation_projection,relation,,,导致,ent_4f55ab553bbf5bcb,酸性物质,outgoing,[394],394
obs_0145baa6e6c6,Observation,被 状态监测技术 以 用于判定 关系连接,relation_projection,relation,,,用于判定,ent_6e38a73172e24e0f,状态监测技术,incoming,[399],399
obs_016e3817f47c,Observation,被 转入机旁应急操舵 以 处置 关系连接,relation_projection,relation,,,处置,ent_52e9723c1e21e776,转入机旁应急操舵,incoming,[406],406
obs_01b76918e0b6,Observation,被 不必要的拆检 以 导致 关系连接,relation_projection,relation,,,导致,ent_2ab4faf976260281,不必要的拆检,incoming,[398],398
obs_01c14fa6da7b,Observation,与 连续监测 存在 依据 关系,relation_projection,relation,,,依据,ent_cee48aa3761caabf,连续监测,outgoing,[398],398
obs_020417a44f96,Observation,被 应急处置 以 针对 关系连接,relation_projection,relation,,,针对,ent_3cce22a519fb4d88,应急处置,incoming,[423],423
obs_0217995d9da6,Observation,被 液压阀组 以 组成 关系连接,relation_projection,relation,,,组成,ent_471a1d5d8589ae4c,液压阀组,incoming,[417],417
obs_025197dddf99,Observation,被 预热 以 针对 关系连接,relation_projection,relation,,,针对,ent_6d73ca3d4c89f2e5,预热,incoming,[394],394
obs_026aff1999f4,Observation,与 备件识别 存在 包含 关系,relation_projection,relation,,,包含,ent_b5a2cfe8bd63520b,备件识别,outgoing,[422],422
obs_02789a37547d,Observation,被 人员培训 以 包含 关系连接,relation_projection,relation,,,包含,ent_122b40df95c6f16f,人员培训,incoming,[422],422
obs_02887ce10261,Observation,被 基础排气 以 针对 关系连接,relation_projection,relation,,,针对,ent_02498c03d7fcc4af,基础排气,incoming,[422],422
