entity_id,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_0003afcded4463a0,ent_0003afcded4463a0,ent_0003afcded4463a0,第 4 道令,第4道令,第 4 道令,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[507],507,"[""eocc_cc0d2f4e16c6b82d""]",eocc_cc0d2f4e16c6b82d
ent_00081508f4e60366,ent_00081508f4e60366,ent_00081508f4e60366,用手动砂轮打出约 20 mm 坡口,用手动砂轮打出约20mm坡口,用手动砂轮打出约 20 mm 坡口,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[498],498,"[""eocc_0fa7fb0ddf2614d2""]",eocc_0fa7fb0ddf2614d2
ent_002f06e36c771128,ent_002f06e36c771128,ent_002f06e36c771128,更换油头,更换油头,更换油头,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[479],479,"[""eocc_8dc5278427f0568d""]",eocc_8dc5278427f0568d
ent_00829985204a0b85,ent_00829985204a0b85,ent_00829985204a0b85,失去弹性并严重磨损,失去弹性并严重磨损,失去弹性并严重磨损,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[507],507,"[""eocc_354b244139d32622""]",eocc_354b244139d32622
ent_00b5eb72aadb3c14,ent_00b5eb72aadb3c14,ent_00b5eb72aadb3c14,GAY 轮主机透平重复发生故障和损坏,gay轮主机透平重复发生故障和损坏,GAY 轮主机透平重复发生故障和损坏,事故案例,事故案例,"[""事故案例""]",事故案例,,"{""历时"": ""20 余天"", ""时间"": ""1995 年""}",[462],462,"[""eocc_b6f01851f8dbe82c""]",eocc_b6f01851f8dbe82c
ent_01129687df330596,ent_01129687df330596,ent_01129687df330596,热那亚加装燃料油实际使用粘度偏高,热那亚加装燃料油实际使用粘度偏高,热那亚加装燃料油实际使用粘度偏高,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[483],483,"[""eocc_afea232730f21f46""]",eocc_afea232730f21f46
ent_012a6c05e4d921ce,ent_012a6c05e4d921ce,ent_012a6c05e4d921ce,活塞冷却不良,活塞冷却不良,活塞冷却不良,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[475],475,"[""eocc_416603541423d796""]",eocc_416603541423d796
ent_015aaf8494136575,ent_015aaf8494136575,ent_015aaf8494136575,"简单地把轴套""红套""在转子轴上，再上磨床校正",简单地把轴套红套在转子轴上再上磨床校正,"简单地把轴套""红套""在转子轴上，再上磨床校正",原因因素,原因因素,"[""原因因素""]",原因因素,,{},[498],498,"[""eocc_24fab8028c06d4fd""]",eocc_24fab8028c06d4fd
ent_019a3c16974eac7d,ent_019a3c16974eac7d,ent_019a3c16974eac7d,红套移位,红套移位,红套移位,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[511],511,"[""eocc_c0686e2fbd1e155b""]",eocc_c0686e2fbd1e155b
ent_0210d9efebdce7f2,ent_0210d9efebdce7f2,ent_0210d9efebdce7f2,烟管,烟管,烟管,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[505],505,"[""eocc_17f98b6e05c15e05""]",eocc_17f98b6e05c15e05
