:START_ID(Entity-ID),:END_ID(Entity-ID),:TYPE,relationship_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
ent_0078f65d708b1617,ent_05cfd732a0ed8871,REL_93D4786288,rel_04fa696ce054b64a,日常巡检,油箱,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401
ent_0078f65d708b1617,ent_071e53eff83c673b,REL_6ED9EA33F3,rel_c44ba1dd8f193573,日常巡检,油液颜色,维护活动,监测指标,监测,监测,监测,监测,"[""监测""]",监测,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""监测指标""}",[401],401
ent_0078f65d708b1617,ent_29aafe19cccd5b86,REL_93D4786288,rel_fb3f4a9ef68b8eea,日常巡检,阀,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401
ent_0078f65d708b1617,ent_39c9c2e8d4ac215b,REL_6ED9EA33F3,rel_6a105edcbbdc60ed,日常巡检,油液液位,维护活动,监测指标,监测,监测,监测,监测,"[""监测""]",监测,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""监测指标""}",[401],401
ent_0078f65d708b1617,ent_6891467f987c212d,REL_93D4786288,rel_56acb7dfc4728bbc,日常巡检,法兰,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401
ent_0078f65d708b1617,ent_774faa8f73b7858f,REL_93D4786288,rel_ef6d2dd2ad96bebd,日常巡检,接头,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401
ent_0078f65d708b1617,ent_7764bd701377a81f,REL_6ED9EA33F3,rel_cc89034d69e7c95e,日常巡检,压力变化,维护活动,监测指标,监测,监测,监测,监测,"[""监测""]",监测,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""监测指标""}",[401],401
ent_0078f65d708b1617,ent_7a562fbf6b0e6308,REL_93D4786288,rel_6dff6e5792462f92,日常巡检,船舶液压系统,维护活动,系统设备,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""系统设备""}","[401, 409]",401|409
ent_0078f65d708b1617,ent_9138782c72e875f1,REL_93D4786288,rel_900ac74019e4f4c0,日常巡检,软管,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401
ent_0078f65d708b1617,ent_a374eb4c9fdc30f2,REL_93D4786288,rel_cda93fcb15237242,日常巡检,泵,维护活动,元件部件,针对,针对,针对,针对,"[""针对""]",针对,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""维护活动"", ""target_entity_type"": ""元件部件""}",[401],401
