:START_ID(Entity-ID),:END_ID(Entity-ID),:TYPE,relationship_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
ent_000e223a3d2bae71,ent_5dfd7f21110ff391,REL_D32CE0D895,rel_750f1f9117d240f3,PMS 自动并车同步过程逻辑,PMS 自动同步与 VFD 技术规范,作业活动,规范程序,遵循,遵循,遵循,遵循严格的物理逻辑,"[""遵循严格的物理逻辑""]",遵循严格的物理逻辑,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""遵循"", ""relation_key"": ""遵循"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""规范程序""}",[374],374
ent_0016dfde619b1206,ent_d81d42eff45dc9b5,REL_9899E5D4D0,rel_bdd53cdbd8a7cc0c,浮球卡滞,液位信号跳变,原因因素,故障异常,导致,导致,导致,多见于,"[""多见于""]",多见于,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[382],382
ent_00784c5550366ab3,ent_7bda816b710c1e96,REL_C8079CB7C7,rel_4299b2027a04e495,防潮加热器,发电机,设备部件,设备部件,供电,供电,供电,电动机自带的,"[""电动机自带的""]",电动机自带的,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""供电"", ""relation_key"": ""供电"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""设备部件""}",[377],377
ent_01cb9d63b82bdbaa,ent_2df7f642718f306b,REL_9899E5D4D0,rel_0ee6fe979fe40032,线圈烧毁,电磁阀不动作,原因因素,故障异常,导致,导致,导致,由...引起,"[""由...引起""]",由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[383],383
ent_01f538fca6735763,ent_a56b62d908bc2190,REL_6ED9EA33F3,rel_7339b0f92fa80178,调速器,转速,设备部件,监测指标,监测,监测,监测,调节转速,"[""调节转速""]",调节转速,,unmapped,null,[375],375
ent_02bc9cc6260cd189,ent_5a0830226afad0a7,REL_93D4786288,rel_df2f8856a3bd99fa,日常运维,电气系统,作业活动,电气系统,针对,针对,针对,全船电气系统的,"[""全船电气系统的""]",全船电气系统的,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""电气系统""}",[360],360
ent_02d652588d8e4136,ent_70f4a1c9e4c4413f,REL_93D4786288,rel_4e585318d51900ec,实践维护,设备,作业活动,设备部件,针对,针对,针对,延长设备寿命,"[""延长设备寿命""]",延长设备寿命,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""设备部件""}",[366],366
ent_02e7c5da5157fa42,ent_d89dc73a9823fdb1,REL_9899E5D4D0,rel_562bbdb17c08f15c,接线错误,温度传感器显示偏高或偏低,原因因素,故障异常,导致,导致,导致,可能由...引起,"[""可能由...引起""]",可能由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[382],382
ent_0560316518203a3e,ent_1c13d7caae982918,REL_9899E5D4D0,rel_4fd7d391de20c760,控制电压不稳,接触器频繁吸合释放,原因因素,故障异常,导致,导致,导致,与...有关,"[""与...有关""]",与...有关,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[383],383
ent_06700f0f3872347f,ent_e36c25b3cf9e1ef0,REL_93D4786288,rel_0aff0676cbed6e16,基础维护,机舱设备,作业活动,设备部件,针对,针对,针对,机舱设备管理,"[""机舱设备管理""]",机舱设备管理,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""针对"", ""relation_key"": ""针对"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""设备部件""}",[360],360
ent_07459523baec85a6,ent_ebb6780653e21935,REL_3F8A56C3E0,rel_47dd473af2ee2e08,接地不良,接地连接,故障异常,设备部件,发生于,发生于,发生于,接地连接...接地不良,"[""接地连接...接地不良""]",接地连接...接地不良,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""故障异常"", ""target_entity_type"": ""设备部件""}",[381],381
ent_0874b0c182e6b791,ent_0eb2fd5e52867fda,REL_C8079CB7C7,rel_ff7f07419e5c6021,应急发电机,电源装置,设备部件,设备部件,供电,供电,供电,构成,"[""构成""]",构成,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""供电"", ""relation_key"": ""供电"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""设备部件""}",[361],361
ent_0874b0c182e6b791,ent_10991af01325c6f0,REL_C8079CB7C7,rel_cadf5f5f72864f07,应急发电机,船舶电力系统,设备部件,电气系统,供电,供电,供电,产生,"[""产生""]",产生,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""供电"", ""relation_key"": ""供电"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""电气系统""}",[371],371
ent_0874b0c182e6b791,ent_51b5d0d70bc090d3,REL_C8079CB7C7,rel_293cb2a7d710258c,应急发电机,应急照明,设备部件,电气系统,供电,供电,供电,恢复...供电,"[""恢复...供电""]",恢复...供电,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""供电"", ""relation_key"": ""供电"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""电气系统""}",[369],369
ent_0874b0c182e6b791,ent_a56590c5e54d89cd,REL_C8079CB7C7,rel_3a818a01a3dad3fa,应急发电机,关键导航设备,设备部件,设备部件,供电,供电,供电,恢复...供电,"[""恢复...供电""]",恢复...供电,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""供电"", ""relation_key"": ""供电"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""设备部件""}",[369],369
ent_087922806c82792b,ent_2020c85fcd6421cf,REL_9899E5D4D0,rel_2790412b385cda4b,屏蔽接地不良,输入信号异常,原因因素,故障异常,导致,导致,导致,与...有关,"[""与...有关""]",与...有关,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[382],382
ent_089e4ebe536ef9a9,ent_92e713b3cc08d362,REL_9899E5D4D0,rel_59499bdca0cf62e8,盐雾侵蚀,绝缘电阻下降,原因因素,故障异常,导致,导致,导致,与...有关,"[""与...有关""]",与...有关,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障异常""}",[381],381
ent_0a88f5b13d0b35c8,ent_61436982797f6303,REL_9263E46A01,rel_853e90f9c3a1ae0c,清洁处理,端子腐蚀,作业活动,故障异常,处理,处理,处理,对...进行清洁处理,"[""对...进行清洁处理""]",对...进行清洁处理,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理"", ""relation_key"": ""处理"", ""source_entity_type"": ""作业活动"", ""target_entity_type"": ""故障异常""}",[379],379
